source_dataset,study_or_project_id,n_samples,n_unique_anatomical_sites,n_unique_disease_labels,project_ids_observed,access_note
geo,GSE157103,125,1,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE159067,102,4,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE159141,50,2,12,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE161537,80,1,6,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE165159,5,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE165298,11,1,4,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE166915,10,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE179250,192,1,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE184722,90,3,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE186844,14,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE192352,62,1,4,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE193066,137,1,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE193080,48,1,8,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE195664,7,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE195796,61,1,9,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE197138,5,2,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE197346,28,1,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE198520,90,1,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE198607,10,1,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE199225,57,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE199800,1684,1,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE201642,26,1,9,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE202361,57,2,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE202436,98,1,5,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE203215,13,1,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE205204,14,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE207398,13,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE208218,252,1,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE216561,59,4,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE216738,423,3,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE217386,20,3,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE222298,32,2,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE224248,41,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE224707,31,2,11,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE225620,40,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE236522,33,1,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE237936,10,1,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE238195,28,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE240671,69,1,4,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE241396,30,1,7,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE243682,124,1,16,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE244124,14,1,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE248274,14,1,2,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE253260,316,1,1,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE256091,126,1,6,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE256268,40,2,4,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE261186,20,1,6,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
geo,GSE263588,32,1,3,,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::ALCHEMIST-ALCH,212,1,10,ALCHEMIST-ALCH,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::APOLLO-LUAD,14,1,4,APOLLO-LUAD,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::APOLLO-OV,30,1,1,APOLLO-OV,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::BEATAML1.0-COHORT,733,1,33,BEATAML1.0-COHORT,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CCG-CUPP,10,2,7,CCG-CUPP,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CDDP_EAGLE-1,7,1,3,CDDP_EAGLE-1,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CGCI-BLGSP,109,2,5,CGCI-BLGSP,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CGCI-HTMCP-CC,196,1,10,CGCI-HTMCP-CC,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CGCI-HTMCP-DLBCL,55,1,4,CGCI-HTMCP-DLBCL,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CGCI-HTMCP-LC,38,4,15,CGCI-HTMCP-LC,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CMI-ASC,1,1,1,CMI-ASC,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CMI-MBC,37,1,4,CMI-MBC,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CMI-MPC,8,1,1,CMI-MPC,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CPTAC-2,57,3,7,CPTAC-2,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CPTAC-3,1125,8,17,CPTAC-3,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::CTSP-DLBCL1,41,2,3,CTSP-DLBCL1,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::EXCEPTIONAL_RESPONDERS-ER,57,11,23,EXCEPTIONAL_RESPONDERS-ER,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::HCMI-CMDC,792,15,78,HCMI-CMDC,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::MMRF-COMMPASS,859,1,1,MMRF-COMMPASS,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::MP2PRT-ALL,1290,2,14,MP2PRT-ALL,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::MP2PRT-WT,15,1,1,MP2PRT-WT,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::NCICCR-DLBCL,479,1,1,NCICCR-DLBCL,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::OHSU-CNL,80,1,6,OHSU-CNL,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::ORGANOID-PANCREATIC,54,1,2,ORGANOID-PANCREATIC,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::RC-PTCL,8,5,5,RC-PTCL,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::REBC-THYR,514,1,1,REBC-THYR,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::TARGET-ALL-P1,12,1,1,TARGET-ALL-P1,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::TARGET-ALL-P2,530,1,1,TARGET-ALL-P2,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
tcga,TCGA::TARGET-ALL-P3,134,1,3,TARGET-ALL-P3,Public accession or project identifier; see the manuscript Data Availability statement for repository-specific access terms.
